"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
,"15","05","UP","0515KC002",,,"","","15","05","UP","0515KC002",,"","15","05","08",2.00,40.00,"AM","01",0.00,0.00,0.00,0.00,"","KANSAS CITY","MO","29",62.00,"4","3","002","E","YKC2","3",6984.00,"7","Y","EAST BOWL LEAD","1","","2","UTLX","662028","058","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,14436.00,1000.00,"M204","",0.00,0.00,0.00,0.00,"M204","2","1","002",15436.00,,"29C095",0.00,"000000",0.00,"3","0","0","0","06","10","","","1","6",,"1L",,"","",76.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"JACKSON","095","","","","N","OTH",,"YKC20R-07 WHILE HUMPING, DERAILED 2 CARS DUE TO AN IMPROPERLY LOADED HOPPER.","","","","","","","","","","","","","","","3",39.12,-94.53,"2","5","","","","K C METRO NEFF YD"
,"15","01","CRSH","113847",,,"","","15","01","CRSH","113847",,"","15","01","13",9.00,10.00,"AM","05",0.00,0.00,0.00,0.00,"","NEWARK","010.60","34",23.00,"2","2","000","E","NOTR","3",0.00,"5","N","OI TRACK 8","1","0010","2","ADMX","028199","001","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,10073.00,0.00,"S006","",0.00,0.00,0.00,0.00,"S006","2","1","001",17253.00,,"34C013",0.00,"000000",0.00,"0","0","0","0","","","","","3","1",,"1L",,"","",90.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"ESSEX","013","","","","N","OTH",,"CREW WAS HUMPING AND CAR ADMX 28199 SIDSWIPED CAR ADMX 25120, CAUSING BOTH CARS TO DERAIL.","","","","","","","","","","","","","","","0",40.71,-74.14,"2","5","K","","","NORTH JERSEY"
,"15","01","CRSH","113847",,,"","","15","01","CRSH","113847",,"","15","01","13",9.00,10.00,"AM","05",0.00,0.00,0.00,0.00,"","NEWARK","010.60","34",23.00,"2","2","001","E","FO49","3",0.00,"7","Y","OI TRACK 6","1","0010","2","ADMX","025120","001","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7030.00,150.00,"S006","",0.00,0.00,0.00,0.00,"S006","2","1","001",17253.00,,"34C013",0.00,"000000",0.00,"1","0","1","0","10","10","10","10","1","1",,"1L",,"","",90.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"ESSEX","013","","","","N","OTH",,"CREW WAS HUMPING AND CAR ADMX 28199 SIDSWIPED CAR ADMX 25120, CAUSING BOTH CARS TO DERAIL.","","","","","","","","","","","","","","","0",40.71,-74.14,"2","5","K","","","NORTH JERSEY"
,"15","05","UP","0515KC010",,,"","","15","05","UP","0515KC010",,"605800K","15","05","27",8.00,50.00,"PM","07",2.00,0.00,0.00,0.00,"","MINNEOLA","370.29","20",55.00,"4","3","052","R","ILXD","3",7290.00,"1","Y","SINGLE MAIN","4","42.6","1","UP","004138","001","","","","000","",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62699.00,45795.00,"M399","",0.00,0.00,0.00,0.00,"M399","1","4","052",108494.00,,"20C025",0.00,"000000",0.00,"1","0","1","0","05","50","05","50","1","6",,"1L",,"","",96.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"CLARK","025","","","","N","CWR",,"ILXDUX-25 WHILE PULLING, STRUCK A TRACTOR TRAILER THAT HAD BECOME HIGH CENTERED ON THE CROSSING.","","","","","","","","","","","","","","","0",37.44,-100.01,"1","1","Q","","","PRATT SUB"
,"15","05","UP","0515PR003",,,"","","15","05","UP","0515PR003",,"","15","05","01",10.00,30.00,"AM","12",0.00,0.00,0.00,0.00,"","NORTHLAKE","14.1","17",65.00,"2","1","000","E","","",136.00,"5","N","BOWL TRACK 47","1","","2","MBLX","053428","001","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73896.00,0.00,"H601","",0.00,0.00,0.00,0.00,"H601","2","1","010",83185.00,,"17C031",0.00,"000000",0.00,"0","0","0","0","","","","","3","4",,"1L",,"","",153.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","","","","N","OTH",,"NO DERAILMENT, IMPACT ONLY.  THE BLHX21305, UTLX608606, BCOL730267, AND MBLX53428 WERE HUMPED INTO B","OWL 47 WHEN THEY HAD A HIGH IMPACT WITH CARS IN RAIL.","","","","","","","","","","","","","","0",41.89,-87.90,"2","5","","","","PROVISO YARD"
,"15","05","UP","0515PR003",,,"","","15","05","UP","0515PR003",,"","15","05","01",10.00,30.00,"AM","12",0.00,0.00,0.00,0.00,"","NORTHLAKE","14.1","17",65.00,"2","1","010","E","","3",436.00,"6","N","BOWL TRACK 47","1","","2","BLHX","021305","001","N","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9289.00,0.00,"H601","",0.00,0.00,0.00,0.00,"H601","2","1","010",83185.00,,"17C031",0.00,"000000",0.00,"0","0","0","0","","","","","1","4",,"1L",,"","",153.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","","","","N","OTH",,"NO DERAILMENT, IMPACT ONLY.  THE BLHX21305, UTLX608606, BCOL730267, AND MBLX53428 WERE HUMPED INTO B","OWL 47 WHEN THEY HAD A HIGH IMPACT WITH CARS IN RAIL.","","","","","","","","","","","","","","0",41.89,-87.90,"2","5","","","","PROVISO YARD"
,"15","05","UP","0515PR030",,,"","","15","05","UP","0515PR030",,"","15","05","29",12.00,10.00,"PM","01",0.00,0.00,0.00,0.00,"","SOUTH HOLLAND","18.9","17",80.00,"2","3","006","E","YCH0","2",303.00,"1","Y","SCALE TRACK","1","","2","ETTX","810081","002","N","","","000","",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,996.00,15000.00,"T110","",0.00,0.00,0.00,0.00,"T110","2","1","006",15996.00,,"17C031",0.00,"000000",0.00,"1","0","0","1","05","10","","","1","4",,"1L",,"","",123.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","","","","N","OTH",,"WHILE PULLING CARS OUT OF TRACK 18, THE YCH01R-29 DERAILED 3 CARS DUE TO BROKEN STEEL TIES ALLOWING","WIDE GAGE ON TRACK 525.","","","","","","","","","","","","","","1",41.60,-87.61,"2","5","","","","VILLA GROVE SUB"
,"15","03","CSX","000143277",,,"","","15","03","CSX","000143277",,"","15","03","14",9.00,50.00,"PM","09",0.00,0.00,0.00,0.00,"","WHITE SULPHUR SPRING","0308.3","54",37.00,"4","1","005","E","U286","3",21061.00,"1","Y","#2 MAIN","3","0030.5","1","CSXT","399759","144","Y","","","000","",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130173.00,50.00,"M404","M101",0.00,0.00,0.00,0.00,"M404","1","3","005",130223.00,,"54C025",0.00,"000000",0.00,"1","0","1","0","04","50","04","50","1","2",,"1L",,"","",153.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"GREENBRIER","025","","","","N","",,"MUD/ROCK SLIDE ON #2 MAIN SOUTH SIDE OF RAIL SLIDE DOWN MOUNTAIN AND HIT SIDE OF U28613 WHILE TRAIN","WAS MOVING STRIKING CARS CAUSING DAMAGE TO EQUIPMENT.","","","","","","","","","","","","","","0",37.78,-80.29,"1","1","Q","","","ALLEGHENY"
,"15","01","UP","0115CB003",,,"","","15","01","UP","0115CB003",,"","15","01","05",5.00,10.00,"PM","11",0.00,0.00,0.00,0.00,"","LE GRAND","142.26","19",5.00,"4","2","050","E","CNAP","3",18090.00,"1","Y","MAIN TRACK","4","81.2","1","UP","007004","138","","UP","007004","138","",2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,135.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138528.00,0.00,"E99L","",0.00,0.00,0.00,0.00,"E99L","1","4","050",138528.00,,"19C171",0.00,"000000",0.00,"1","0","1","0","03","40","03","40","1","6",,"1L",,"","",427.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"TAMA","171","","","","N","CWR",,"AT MP 142 NEAR LE GRAND, IOWA IT WAS REPORTED THAT THE UP7004, THE REAR DPU UNIT ON THE CNAPW-03 WAS","ON FIRE.  THE TRAIN WAS STOPPED AT MP 135.43 WHERE TAMA COUNTY FIRE DEPARTMENT RESPONDED AND QUICKL","Y EXTINGUISHED THE FIRE.  ENGINE WAS SHUT DOWN AND IT WAS FOUND THAT A FUEL LEAK HAD CAUSED THE FIRE",".  A SMALL AMOUNT OF FUEL HAD LEAKED (A FEW DROPS) AND ABSORBENT PADS WERE PLACED TO CLEAN UP ANY FU","EL THAT HAD HIT THE GROUND.","","","","","","","","","","","0",41.99,-92.74,"1","1","","","","CLINTON SUB"
,"15","01","UPME","0115PR016",,,"","","15","01","UPME","0115PR016",,"","15","01","26",10.00,39.00,"AM","01",0.00,0.00,0.00,0.00,"","CHICAGO","4.6","17",23.00,"2","2","007","R","YCM8","3",1460.00,"7","Y","OHIO INDUSTRIAL LEAD","1","","2","TILX","270685","002","","","","000","",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,4.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,22431.00,93835.00,"T110","",0.00,0.00,0.00,0.00,"T110","2","1","007",116266.00,,"17C031",0.00,"000000",0.00,"1","0","0","1","04","09","","","1","4",,"3",,"","",121.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","","","","N","OTH",,"YCM83-26 WAS SHOVING 13 CARS EASTWARD ON THE OHIO INDUSTRIAL LEAD, WHEN THE FIRST 5 CARS DERAILED ON","APPARENT WIDE GAUGE.","","","","","","","","","","","","","","0",41.88,-87.72,"2","5","","","","GENEVA SUB"
